Batch, Duration_h, V_initial_mL, V_final_mL, V_increase_%, DCW_final_gL, DCW_mass_final_g, Cumul_Feed_mL
B01  ,         82,       1600.0,     3031.0,         89.4,         48.8,            147.8,        1473.0
B02  ,         96,       1600.0,     3733.0,        133.3,         47.6,            177.8,        2181.0
B03  ,         84,       1600.0,     3123.0,         95.2,         65.4,            204.4,        1565.0
B04  ,         74,       1700.0,     3812.0,        124.2,         95.8,            365.0,        1480.0
B05  ,        120,       1600.0,     3911.0,        144.4,         85.1,            332.8,        1971.0
B06  ,        120,       1600.0,     4442.0,        177.6,         81.9,            363.9,        2412.0
